file,text
data_kevin\arctic_a0058.wav,I came for information more out of curiosity than anything else.
data_kevin\arctic_a0059.wav,His immaculate appearance was gone.
data_kevin\arctic_a0060.wav,"Anyway, no one saw her like that."
data_kevin\arctic_a0061.wav,Philip snatched at the letter which Gregson held out to him.
data_kevin\arctic_a0062.wav,The men stared into each other's face.
data_kevin\arctic_a0063.wav,"Yes, it was a man who asked, a stranger."
data_kevin\arctic_a0064.wav,The fourth and fifth days passed without any developments.
data_kevin\arctic_a0065.wav,They closed now until his fingers were like cords of steel.
data_kevin\arctic_a0066.wav,He saw Jeanne falter for a moment.
data_kevin\arctic_a0067.wav,"Surely I will excuse you, she cried."
data_kevin\arctic_a0068.wav,In a flash Philip followed its direction.
data_kevin\arctic_a0069.wav,It was his intention to return to Eileen and her father.
data_kevin\arctic_a0070.wav,He would first hunt up Gregson and begin his work there.
data_kevin\arctic_a0071.wav,What was the object of your little sensation.
data_kevin\arctic_a0072.wav,But who was Eileen's double.
data_kevin\arctic_a0073.wav,"The promoter's eyes were heavy, with little puffy bags under them."
data_kevin\arctic_a0074.wav,"And now, down there, Eileen was waiting for him."
data_kevin\arctic_a0075.wav,"There has been a change, she interrupted him."
data_kevin\arctic_a0076.wav,The gray eyes faltered; the flush deepened.
data_kevin\arctic_a0077.wav,"It is the fire, partly, she said."
data_kevin\arctic_a0078.wav,"Then, and at supper, he tried to fathom her."
data_kevin\arctic_a0079.wav,It was a large canoe.
data_kevin\arctic_a0080.wav,What if Jeanne failed him.
data_kevin\arctic_a0081.wav,What if she did not come to the rock.
data_kevin\arctic_a0082.wav,His face was streaming with blood.
data_kevin\arctic_a0083.wav,A shadow was creeping over Pierre's eyes.
data_kevin\arctic_a0084.wav,Scarcely had he uttered the name when Pierre's closing eyes shot open.
data_kevin\arctic_a0085.wav,A trickle of fresh blood ran over his face.
data_kevin\arctic_a0086.wav,Death had come with terrible suddenness.
data_kevin\arctic_a0087.wav,"Philip bent lower, and stared into the face of the dead man."
data_kevin\arctic_a0088.wav,"He made sure that the magazine was loaded, and resumed his paddling."
data_kevin\arctic_a0089.wav,The nightglow was treacherous to shoot by.
data_kevin\arctic_a0090.wav,The singing voice approached rapidly.
data_kevin\arctic_a0091.wav,His blood grew hot with rage at the thought.
data_kevin\arctic_a0092.wav,"He went down in midstream, searching the shadows of both shores."
data_kevin\arctic_a0093.wav,For a full minute he crouched and listened.
data_kevin\arctic_a0094.wav,He had barely entered this when he saw the glow of a fire.
data_kevin\arctic_a0095.wav,A big canvas tent was the first thing to come within his vision.
data_kevin\arctic_a0096.wav,Perhaps she had already met her fate a little deeper in the forest.
data_kevin\arctic_a0097.wav,Then you can arrange yourself comfortably among these robes in the bow.
data_kevin\arctic_a0098.wav,Shall I carry you.
data_kevin\arctic_a0099.wav,A maddening joy pounded in his brain.
data_kevin\arctic_a0100.wav,"You must sleep, he urged."
data_kevin\arctic_a0101.wav,"You, you would not keep the truth from me."
data_kevin\arctic_a0102.wav,He will follow us soon.
data_kevin\arctic_a0103.wav,But there came no promise from the bow of the canoe.
data_kevin\arctic_a0104.wav,She was sleeping under his protection as sweetly as a child.
data_kevin\arctic_a0105.wav,"Only, it is so wonderful, so almost impossible to believe."
data_kevin\arctic_a0106.wav,The emotion which she had suppressed burst forth now in a choking sob.
data_kevin\arctic_a0107.wav,If you only could know how I thank you.
data_kevin\arctic_a0108.wav,He waded into the edge of the water and began scrubbing himself.
data_kevin\arctic_a0109.wav,Do you know that you are shaking my confidence in you.
data_kevin\arctic_a0110.wav,"Much, replied Jeanne, as tersely."
data_kevin\arctic_a0111.wav,"Instead, he joined her; and they ate like two hungry children."
data_kevin\arctic_a0112.wav,He was wounded in the arm.
data_kevin\arctic_a0113.wav,I suppose you picked that lingo up among the Indians.
data_kevin\arctic_a0114.wav,Her words sent a strange chill through Philip.
data_kevin\arctic_a0115.wav,He had no excuse for the feelings which were aroused in him.
data_kevin\arctic_a0116.wav,Was it the rendezvous of those who were striving to work his ruin.
data_kevin\arctic_a0117.wav,"She added, with genuine sympathy in her face and voice."
data_kevin\arctic_a0118.wav,Pierre obeys me when we are together.
data_kevin\arctic_a0119.wav,Jeanne was turning the bow shoreward.
data_kevin\arctic_a0120.wav,My right foot feels like that of a Chinese debutante.
data_kevin\arctic_a0121.wav,"They ate dinner at the fifth, and rested for two hours."
data_kevin\arctic_a0122.wav,Two years ago I gave up civilization for this.
data_kevin\arctic_a0123.wav,She had died from cold and starvation.
data_kevin\arctic_a0124.wav,It was Jeanne singing softly over beyond the rocks.
data_kevin\arctic_a0125.wav,He was determined now to maintain a more certain hold upon himself.
data_kevin\arctic_a0126.wav,Each day she became a more vital part of him.
data_kevin\arctic_a0127.wav,"It was a temptation, but he resisted it."
data_kevin\arctic_a0128.wav,This one hope was destroyed as quickly as it was born.
data_kevin\arctic_a0129.wav,Her face was against his breast.
data_kevin\arctic_a0130.wav,"She was his now, forever."
data_kevin\arctic_a0131.wav,Providence had delivered him through the maelstrom.
data_kevin\arctic_a0132.wav,A cry of joy burst from Philip's lips.
data_kevin\arctic_a0133.wav,Philip began to feel that he had foolishly overestimated his strength.
data_kevin\arctic_a0134.wav,He obeyed the pressure of her hand.
data_kevin\arctic_a0135.wav,"I am going to surprise father, and you will go with Pierre."
data_kevin\arctic_a0136.wav,"About him, everywhere, were the evidences of luxury and of age."
data_kevin\arctic_a0137.wav,Then he stepped back with a low cry of pleasure.
data_kevin\arctic_a0138.wav,In the picture he saw each moment a greater resemblance to Jeanne.
data_kevin\arctic_a0139.wav,He told himself that as he washed himself and groomed his disheveled clothes.
data_kevin\arctic_a0140.wav,"Accept a father's blessing, and with it, this."
data_kevin\arctic_a0141.wav,It seems like a strange pointing of the hand of God.
data_kevin\arctic_a0142.wav,"Such things had occurred before, he told Philip."
data_kevin\arctic_a0143.wav,"Ah, I had forgotten, he exclaimed."
data_kevin\arctic_a0144.wav,But there was something even more startling than this resemblance.
data_kevin\arctic_a0145.wav,"I have to be careful of them, as they tear very easily."
data_kevin\arctic_a0146.wav,"Of course, that is uninteresting, she continued."
data_kevin\arctic_a0147.wav,A moment before he was intoxicated by a joy that was almost madness.
data_kevin\arctic_a0148.wav,Now these things had been struck dead within him.
data_kevin\arctic_a0149.wav,For an instant he saw Pierre drawn like a silhouette against the sky.
data_kevin\arctic_a0150.wav,"Goodbye, Pierre, he shouted."
data_kevin\arctic_a0151.wav,"And MacDougall was beyond the trail, with three weeks to spare."
data_kevin\arctic_a0152.wav,Philip thrust himself against it and entered.
data_kevin\arctic_a0153.wav,MacDougall tapped his forehead suspiciously with a stubby forefinger.
data_kevin\arctic_a0154.wav,"He was smooth-shaven, and his hair and eyes were black."
data_kevin\arctic_a0155.wav,"Won't you draw up, gentlemen."
data_kevin\arctic_a0156.wav,A strange fire burned in his eyes when Thorpe turned.
data_kevin\arctic_a0157.wav,"He had worshiped her, as Dante might have worshiped Beatrice."
data_kevin\arctic_a0158.wav,Does that look good.
data_kevin\arctic_a0159.wav,They look as though he had been drumming a piano all his life.
data_kevin\arctic_a0160.wav,You want to go over and see his gang throw dirt.
data_kevin\arctic_a0161.wav,Take away their foreman and they wouldn't be worth their grub.
data_kevin\arctic_a0162.wav,"That's the sub-foreman, explained Thorpe."
data_kevin\arctic_a0163.wav,Philip made no effort to follow.
data_kevin\arctic_a0164.wav,"He came first a year ago, and revealed himself to Jeanne."
data_kevin\arctic_a0165.wav,They are to attack your camp tomorrow night.
data_kevin\arctic_a0166.wav,Two days ago Jeanne learned where her father's men were hiding.
data_kevin\arctic_a0167.wav,"I was near the cabin, and saw you."
data_kevin\arctic_a0168.wav,Low bush whipped him in the face and left no sting.
data_kevin\arctic_a0169.wav,Suddenly Jeanne stopped for an instant.
data_kevin\arctic_a0170.wav,There was none of the joy of meeting in his face.
data_kevin\arctic_a0171.wav,"And when you come back in a few days, bring Eileen."
data_kevin\arctic_a0172.wav,Gregson had left the outer door slightly ajar.
data_kevin\arctic_a0173.wav,The date was nearly eighteen years old.
data_kevin\arctic_a0174.wav,They were the presage of storm.
data_kevin\arctic_a0175.wav,Down there the earth was already swelling with life.
data_kevin\arctic_a0176.wav,For the first time in his life he was yearning for a scrap.
data_kevin\arctic_a0177.wav,She had been thoroughly and efficiently mauled.
data_kevin\arctic_a0178.wav,Every bone in her aged body seemed broken or dislocated.
data_kevin\arctic_a0179.wav,"Tomorrow I'm going after that bear, he said."
data_kevin\arctic_a0180.wav,"If not, let's say our prayers and go to bed."
data_kevin\arctic_a0181.wav,"So cheer up, and give us your paw."
data_kevin\arctic_a0182.wav,This time he did not yap for mercy.
data_kevin\arctic_a0183.wav,And the air was growing chilly.
data_kevin\arctic_a0184.wav,"Don't you see, I'm chewing this thing in two."
data_kevin\arctic_a0185.wav,The questions may have come vaguely in his mind.
data_kevin\arctic_a0186.wav,Like a flash he launched himself into the feathered mass of the owl.
data_kevin\arctic_a0187.wav,Ahead of them they saw a glimmer of sunshine.
data_kevin\arctic_a0188.wav,Two gigantic owls were tearing at the carcass.
data_kevin\arctic_a0189.wav,"The big-eyed, clucking moose-birds were most annoying."
data_kevin\arctic_a0190.wav,Next to them the Canada jays were most persistent.
data_kevin\arctic_a0191.wav,For a time the exciting thrill of his adventure was gone.
data_kevin\arctic_a0192.wav,He did not rush in.
data_kevin\arctic_a0193.wav,It was edged with ice.
data_kevin\arctic_a0194.wav,He drank of the water cautiously.
data_kevin\arctic_a0195.wav,But a strange thing happened.
data_kevin\arctic_a0196.wav,He began to follow the footprints of the dog.
data_kevin\arctic_a0197.wav,"Such a dog the wise driver kills, or turns loose."
data_kevin\arctic_a0198.wav,Sometimes her dreams were filled with visions.
data_kevin\arctic_a0199.wav,Thus had the raw wilderness prepared him for this day.
data_kevin\arctic_a0200.wav,"He leapt again, and the club caught him once more."
data_kevin\arctic_a0201.wav,"He cried, and swung the club wildly."
data_kevin\arctic_a0202.wav,"She turned, fearing that Jacques might see what was in her face."
data_kevin\arctic_a0203.wav,They were following the shore of a lake.
data_kevin\arctic_a0204.wav,The wolf-dog thrust his gaunt muzzle toward him.
data_kevin\arctic_a0205.wav,From now on we're pals.
data_kevin\arctic_a0206.wav,He says he bought him of Jacques Le Beau.
data_kevin\arctic_a0207.wav,How much was it.
data_kevin\arctic_a0208.wav,"Youth had come back to her, freed from the yoke of oppression."
data_kevin\arctic_a0209.wav,"It was not a large lake, and almost round."
data_kevin\arctic_a0210.wav,Its diameter was not more than two hundred yards.
data_kevin\arctic_a0211.wav,It drowned all sound that brute agony and death may have made.
data_kevin\arctic_a0212.wav,"Fresh cases, still able to walk, they clustered about the spokesman."
data_kevin\arctic_a0213.wav,Between him and the beach was the cane-grass fence of the compound.
data_kevin\arctic_a0214.wav,"Besides, he was paid one case of tobacco per head."
data_kevin\arctic_a0215.wav,They die out of spite.
data_kevin\arctic_a0216.wav,The other felt a sudden wave of irritation rush through him.
data_kevin\arctic_a0217.wav,"Oppressive as the heat had been, it was now even more oppressive."
data_kevin\arctic_a0218.wav,The ringing of the big bell aroused him.
data_kevin\arctic_a0219.wav,At first he puzzled over something untoward he was sure had happened.
data_kevin\arctic_a0220.wav,A dead man is of no use on a plantation.
data_kevin\arctic_a0221.wav,I don't know why you're here at all.
data_kevin\arctic_a0222.wav,What part of the United States is your home.
data_kevin\arctic_a0223.wav,"My, I'm almost homesick for it already."
data_kevin\arctic_a0224.wav,"She nodded, and her eyes grew soft and moist."
data_kevin\arctic_a0225.wav,I was brought up the way most girls in Hawaii are brought up.
data_kevin\arctic_a0226.wav,That came before my A B C's.
data_kevin\arctic_a0227.wav,It was the same way with our revolvers and rifles.
data_kevin\arctic_a0228.wav,But it contributed to the smash.
data_kevin\arctic_a0229.wav,The last one I knew was an overseer.
data_kevin\arctic_a0230.wav,Do you know any good land around here.
data_kevin\arctic_a0231.wav,The Resident Commissioner is away in Australia.
data_kevin\arctic_a0232.wav,"I cannot follow you, she said."
data_kevin\arctic_a0233.wav,I never allow what can't be changed to annoy me.
data_kevin\arctic_a0234.wav,"Why, the average review is more nauseating than cod liver oil."
data_kevin\arctic_a0235.wav,His voice was passionately rebellious.
data_kevin\arctic_a0236.wav,Don't you see I hate you.
data_kevin\arctic_a0237.wav,So Hughie and I did the managing ourselves.
data_kevin\arctic_a0238.wav,It happened to him at the Gallina Society in Oakland one afternoon.
data_kevin\arctic_a0239.wav,He cried in such genuine dismay that she broke into hearty laughter.
data_kevin\arctic_a0240.wav,Wash your hands of me.
data_kevin\arctic_a0241.wav,I think it's much nicer to quarrel.
data_kevin\arctic_a0242.wav,I saw it when she rolled.
data_kevin\arctic_a0243.wav,I only read the quotations.
data_kevin\arctic_a0244.wav,He was the soul of devotion to his employers.
data_kevin\arctic_a0245.wav,"Out of his eighteen hundred, he laid aside sixteen hundred each year."
data_kevin\arctic_a0246.wav,You have heard always how he was the lover of the Princess Naomi.
data_kevin\arctic_a0247.wav,They ought to pass here some time today.
data_kevin\arctic_a0248.wav,I had been sad too long already.
data_kevin\arctic_a0249.wav,"All eyes, however, were staring at him in certitude of expectancy."
data_kevin\arctic_a0250.wav,He had observed the business life of Hawaii and developed a vaulting ambition.
data_kevin\arctic_a0251.wav,I may manage to freight a cargo back as well.
data_kevin\arctic_a0252.wav,O'Brien had been a clean living young man with ideals.
data_kevin\arctic_a0254.wav,"Straight out they swam, their heads growing smaller and smaller."
data_kevin\arctic_a0255.wav,"You won't die of malnutrition, be sure of that."
data_kevin\arctic_a0256.wav,See the length of the body and that elongated neck.
data_kevin\arctic_a0257.wav,"They are coming ashore, whoever they are."
data_kevin\arctic_a0258.wav,Soaked in seawater they offset the heat rays.
data_kevin\arctic_a0259.wav,Think of investing in such an adventure.
data_kevin\arctic_a0260.wav,"Nobody knew his history, they of the Junta least of all."
data_kevin\arctic_a0261.wav,I have been doubly baptized.
data_kevin\arctic_a0262.wav,They wouldn't be sweeping a big vessel like the Martha.
data_kevin\arctic_a0263.wav,"Joan looked triumphantly at Sheldon, who bowed."
data_kevin\arctic_a0264.wav,"And I hope you've got plenty of chain out, Captain Young."
data_kevin\arctic_a0265.wav,The discovery seemed to have been made on the spur of the moment.
data_kevin\arctic_a0266.wav,"They handled two men already, both grub-thieves."
data_kevin\arctic_a0267.wav,"Eli Harding asked, as Shunk started to follow."
data_kevin\arctic_a0268.wav,Now go ahead and tell me in a straightforward way what has happened.
data_kevin\arctic_a0269.wav,That's where they cut off the Scottish Chiefs and killed all hands.
data_kevin\arctic_a0270.wav,And after the bath a shave would not be bad.
data_kevin\arctic_a0271.wav,Now please give a plain statement of what occurred.
data_kevin\arctic_a0272.wav,You can take a vacation on pay.
data_kevin\arctic_a0273.wav,They are big trees and require plenty of room.
data_kevin\arctic_a0274.wav,And Raoul listened again to the tale of the house.
data_kevin\arctic_a0275.wav,There are no kiddies and half grown youths among them.
data_kevin\arctic_a0276.wav,Oolong Atoll was one hundred and forty miles in circumference.
data_kevin\arctic_a0277.wav,"McCoy found a stifling, poisonous atmosphere in the pent cabin."
data_kevin\arctic_a0278.wav,It would give me nervous prostration.
data_kevin\arctic_a0279.wav,She said with chattering teeth.
data_kevin\arctic_a0280.wav,I'll be out of my head in fifteen minutes.
data_kevin\arctic_a0281.wav,I do not blame you for anything; remember that.
data_kevin\arctic_a0282.wav,If you mean to insinuate -- Brentwood began hotly.
data_kevin\arctic_a0283.wav,"The woman in you is only incidental, accidental, and irrelevant."
data_kevin\arctic_a0284.wav,There was no forecasting this strange girl's processes.
data_kevin\arctic_a0285.wav,But what they want with your toothbrush is more than I can imagine.
data_kevin\arctic_a0286.wav,Give them their choice between a fine or an official whipping.
data_kevin\arctic_a0287.wav,Keep an eye on him.
data_kevin\arctic_a0288.wav,"Those are my oysters, he said at last."
data_kevin\arctic_a0289.wav,"They are not regular oyster pirates, Nicholas continued."
data_kevin\arctic_a0290.wav,One by one the boys were captured.
data_kevin\arctic_a0291.wav,"The weeks had gone by, and no overt acts had been attempted."
data_kevin\arctic_a0292.wav,"Here, in the midmorning, the first casualty occurred."
data_kevin\arctic_a0293.wav,They were deep in the primeval forest.
data_kevin\arctic_a0294.wav,He had been foiled in his attempt to escape.
data_kevin\arctic_a0295.wav,And twenty men could hold it with spears and arrows.
data_kevin\arctic_a0296.wav,Bassett was a fastidious man.
data_kevin\arctic_a0297.wav,There's a big English general right now whose name is Roberts.
data_kevin\arctic_a0298.wav,This tacit promise of continued acquaintance gave Saxon a little joy-thrill.
data_kevin\arctic_a0299.wav,I tell you I am disgusted with this adventure tomfoolery and rot.
data_kevin\arctic_a0300.wav,From my earliest recollection my sleep was a period of terror.
data_kevin\arctic_a0301.wav,But all my dreams violated this law.
data_kevin\arctic_a0302.wav,"It is very plausible to such people, a most convincing hypothesis."
data_kevin\arctic_a0303.wav,But they make the mistake of ignoring their own duality.
data_kevin\arctic_a0304.wav,I graduated last of my class.
data_kevin\arctic_a0305.wav,"They had no fixed values, to be altered by adjectives and adverbs."
data_kevin\arctic_a0306.wav,He was pressing beyond the limits of his vocabulary.
data_kevin\arctic_a0307.wav,"Very early in my life, I separated from my mother."
data_kevin\arctic_a0308.wav,His infernal chattering worries me even now as I think of it.
data_kevin\arctic_a0309.wav,"White Leghorns, said Mrs Mortimer."
data_kevin\arctic_a0310.wav,"Massage under tension, was the cryptic reply."
data_kevin\arctic_a0311.wav,"Therefore, hurrah for the game."
data_kevin\arctic_a0312.wav,It lived in perpetual apprehension of that quarter of the compass.
data_kevin\arctic_a0313.wav,Broken-Tooth yelled with fright and pain.
data_kevin\arctic_a0314.wav,Thus was momentum gained in the Younger World.
data_kevin\arctic_a0315.wav,"Saxon waited, for she knew a fresh idea had struck Billy."
data_kevin\arctic_a0316.wav,"We had been chased by them ourselves, more than once."
data_kevin\arctic_a0317.wav,He was a wise hyena.
data_kevin\arctic_a0318.wav,Production is doubling and quadrupling upon itself.
data_kevin\arctic_a0319.wav,"And the Edinburgh Evening News says, with editorial gloom."
data_kevin\arctic_a0320.wav,With my strength I slammed it full into Red-Eye's face.
data_kevin\arctic_a0321.wav,The log on which Lop-Ear was lying got adrift.
data_kevin\arctic_a0322.wav,This is a common experience with all of us.
data_kevin\arctic_a0323.wav,He considered the victory already his and stepped forward to the meat.
data_kevin\arctic_a0324.wav,It was not Red-Eye's way to forego revenge so easily.
data_kevin\arctic_a0325.wav,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.
data_kevin\arctic_a0326.wav,Cherokee identified himself with his instinct.
data_kevin\arctic_a0327.wav,"They were less stooped than we, less springy in their movements."
data_kevin\arctic_a0328.wav,"The Fire People, like ourselves, lived in caves."
data_kevin\arctic_a0329.wav,"Ah, indeed."
data_kevin\arctic_a0330.wav,Red-Eye never committed a more outrageous deed.
data_kevin\arctic_a0331.wav,Poor little Crooked-Leg was terribly scared.
data_kevin\arctic_a0332.wav,"Unconsciously, our yells and exclamations yielded to this rhythm."
data_kevin\arctic_a0333.wav,This is no place for you.
data_kevin\arctic_a0334.wav,He'll knock you off a few sticks in no time.
data_kevin\arctic_a0335.wav,Red-Eye swung back and forth on the branch farther down.
data_kevin\arctic_a0336.wav,So unexpected was my charge that I knocked him off his feet.
data_kevin\arctic_a0337.wav,"Encouraged by my conduct, Big-Face became a sudden ally."
data_kevin\arctic_a0338.wav,The fighting had now become intermittent.
data_kevin\arctic_a0339.wav,"They obeyed him, and went here and there at his commands."
data_kevin\arctic_a0340.wav,It was like the beating of hoofs.
data_kevin\arctic_a0341.wav,"Why, doggone you all, shake again."
data_kevin\arctic_a0342.wav,"Seventeen, no, eighteen days ago."
data_kevin\arctic_a0343.wav,"You mean for this State, General, Alberta."
data_kevin\arctic_a0344.wav,He seemed to fill it with his tremendous vitality.
data_kevin\arctic_a0345.wav,She was trying to pass the apron string around him.
data_kevin\arctic_a0346.wav,Get down and dig in.
data_kevin\arctic_a0347.wav,They are greatly delighted with anything that is bright or giveth a sound.
data_kevin\arctic_a0348.wav,They only lifted seven hundred and fifty.
data_kevin\arctic_a0349.wav,"It was simple, in its way, and no virtue of his."
data_kevin\arctic_a0350.wav,Is that Pat Hanrahan's mug looking hungry and willing.
data_kevin\arctic_a0351.wav,It was more like sugar.
data_kevin\arctic_a0352.wav,"I'm sure going along with you all, Elijah."
data_kevin\arctic_a0353.wav,Here the explosion of mirth drowned him out.
data_kevin\arctic_a0354.wav,Fresh meat they failed to obtain.
data_kevin\arctic_a0355.wav,A burst of laughter was his reward.
data_kevin\arctic_a0356.wav,You don't catch me at any such foolishness.
data_kevin\arctic_a0357.wav,"A month passed by, and Bonanza Creek remained quiet."
data_kevin\arctic_a0358.wav,"They continued valiantly to lie, but the truth continued to outrun them."
data_kevin\arctic_a0359.wav,Earth and gravel seemed to fill the pan.
data_kevin\arctic_a0360.wav,But he no longer cared quite so much for that form of diversion.
data_kevin\arctic_a0361.wav,"But he did not broach it, preferring to mature it carefully."
data_kevin\arctic_a0362.wav,"Nope, not the slightest idea."
data_kevin\arctic_a0363.wav,It is not an attempt to smash the market.
data_kevin\arctic_a0364.wav,"We have plenty of capital ourselves, and yet we want more."
data_kevin\arctic_a0365.wav,These rumors may even originate with us.
data_kevin\arctic_a0366.wav,A wildly exciting time was his during the week preceding Thursday the eighteenth.
data_kevin\arctic_a0367.wav,"There is not an iota of truth in it, certainly not."
data_kevin\arctic_a0368.wav,I just do appreciate it without being able to express my feelings.
data_kevin\arctic_a0369.wav,"In partnership with Daylight, the pair raided the San Jose Interurban."
data_kevin\arctic_a0370.wav,He saw all men in the business game doing this.
data_kevin\arctic_a0371.wav,It issued a rate of forty two dollars a car on charcoal.
data_kevin\arctic_a0372.wav,"He saw only the effect in a general, sketchy way."
data_kevin\arctic_a0373.wav,"Points of view, new ideas, life."
data_kevin\arctic_a0374.wav,"But life's worth more than cash, she argued."
data_kevin\arctic_a0375.wav,The butchers and meat cutters refused to handle meat destined for unfair restaurants.
data_kevin\arctic_a0376.wav,"Your price, my son, is just about thirty per week."
data_kevin\arctic_a0377.wav,This sound did not disturb the hush and awe of the place.
data_kevin\arctic_a0378.wav,That's why its boundaries are all gouged and jagged.
data_kevin\arctic_a0379.wav,"How old are you, daddy."
data_kevin\arctic_a0380.wav,But in the canyons water was plentiful and also a luxuriant forest growth.
data_kevin\arctic_a0381.wav,My name's Ferguson.
data_kevin\arctic_a0382.wav,Daylight found himself charmed and made curious by the little man.
data_kevin\arctic_a0383.wav,"To his surprise, her answer was flat and uncompromising."
data_kevin\arctic_a0384.wav,The farmer works the soil and produces grain.
data_kevin\arctic_a0385.wav,That's what Carnegie did.
data_kevin\arctic_a0386.wav,"I can't argue with you, and you know that."
data_kevin\arctic_a0387.wav,"Bob, growing disgusted, turned back suddenly and attempted to pass Mab."
data_kevin\arctic_a0388.wav,It was my idea to a tee.
data_kevin\arctic_a0389.wav,"Mab, she said."
data_kevin\arctic_a0390.wav,I'll go over tomorrow afternoon.
data_kevin\arctic_a0391.wav,But he reconciled himself to it by an act of faith.
data_kevin\arctic_a0392.wav,"There is that magnificent Bob, eating his head off in the stable."
data_kevin\arctic_a0393.wav,Already he had begun borrowing from the banks.
data_kevin\arctic_a0394.wav,It's the strap hangers that'll keep us from going under.
data_kevin\arctic_a0395.wav,"As for himself, weren't the street railway earnings increasing steadily."
data_kevin\arctic_a0396.wav,A rising tide of fat had submerged them.
data_kevin\arctic_a0397.wav,"Call me that again, he murmured ecstatically."
data_kevin\arctic_a0398.wav,"In the car were Unwin and Harrison, while Jones sat with the chauffeur."
data_kevin\arctic_a0399.wav,And here's another idea.
data_kevin\arctic_a0400.wav,Manuel had one besetting sin.
data_kevin\arctic_a0401.wav,"The man smiled grimly, and brought a hatchet and a club."
data_kevin\arctic_a0402.wav,"Curly rushed her antagonist, who struck again and leaped aside."
